Data,Ano_x,Mês_x,Dia_x,Hora_x,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Ano_y,Mês_y,Dia_y,Hora_y,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
2023-01-01 18:00:00,2023,1,1,18,0.595,0.0,0.0,2023,1,1,18,10.99,11.26,11.82,1016,95,2.22,2.03,100,moderate rain
2023-01-01 19:00:00,2023,1,1,19,2.089,0.0,0.0,2023,1,1,19,10.34,10.57,11.77,1017,95,2.71,1.3,100,moderate rain
2023-01-01 20:00:00,2023,1,1,20,1.635,0.0,0.0,2023,1,1,20,10.31,10.01,10.9,1018,95,2.35,0.85,100,light rain
2023-01-01 21:00:00,2023,1,1,21,0.637,0.0,0.0,2023,1,1,21,10.33,9.79,11.21,1020,95,2.7,0.5,90,light rain
2023-01-01 22:00:00,2023,1,1,22,0.0,0.577,0.0,2023,1,1,22,9.82,9.23,11.21,1021,96,1.84,0.31,72,light rain
2023-01-01 23:00:00,2023,1,1,23,0.0,0.566,0.0,2023,1,1,23,9.78,9.23,10.82,1022,96,1.72,0.26,47,light rain
2023-01-02 00:00:00,2023,1,2,0,0.0,0.639,0.0,2023,1,2,0,9.58,8.68,10.15,1022,96,1.5,0.15,37,light rain
2023-01-02 01:00:00,2023,1,2,1,0.0,0.51,0.0,2023,1,2,1,9.51,8.12,9.59,1022,96,0.34,0.24,34,light rain
2023-01-02 02:00:00,2023,1,2,2,0.0,0.375,0.0,2023,1,2,2,9.01,8.12,9.04,1023,96,0.85,0.19,46,light rain
2023-01-02 03:00:00,2023,1,2,3,0.0,0.345,0.0,2023,1,2,3,8.92,7.72,9.04,1023,96,0.93,0.22,44,light rain
2023-01-02 04:00:00,2023,1,2,4,0.0,0.241,0.0,2023,1,2,4,8.92,7.72,9.04,1024,96,1.15,0.37,44,light rain
2023-01-02 05:00:00,2023,1,2,5,0.0,0.237,0.0,2023,1,2,5,7.91,7.57,7.93,1025,95,0.94,0.47,57,light rain
2023-01-02 06:00:00,2023,1,2,6,0.0,0.252,0.0,2023,1,2,6,7.92,7.72,7.93,1025,96,1.21,0.14,55,light rain
2023-01-02 07:00:00,2023,1,2,7,0.0,0.974,0.0,2023,1,2,7,6.96,7.01,8.82,1026,96,1.89,0.0,100,overcast clouds
2023-01-02 08:00:00,2023,1,2,8,0.476,0.0,0.01,2023,1,2,8,5.89,6.68,7.82,1026,95,2.31,0.0,100,overcast clouds
2023-01-02 09:00:00,2023,1,2,9,0.15,0.0,0.083,2023,1,2,9,7.08,7.01,8.82,1027,96,2.45,0.0,100,overcast clouds
2023-01-02 10:00:00,2023,1,2,10,0.08,0.0,0.158,2023,1,2,10,8.51,7.57,9.82,1027,96,2.21,0.0,100,overcast clouds
2023-01-02 11:00:00,2023,1,2,11,0.0,0.0,0.251,2023,1,2,11,10.26,9.54,11.82,1028,93,1.55,0.0,96,overcast clouds
2023-01-02 12:00:00,2023,1,2,12,0.0,0.0,0.248,2023,1,2,12,10.36,9.23,12.82,1028,90,1.25,0.0,39,scattered clouds
2023-01-02 13:00:00,2023,1,2,13,0.166,0.0,0.078,2023,1,2,13,12.3,10.66,13.82,1027,77,1.12,0.0,21,few clouds
2023-01-02 14:00:00,2023,1,2,14,0.01,0.0,0.22,2023,1,2,14,12.26,12.57,13.82,1027,73,1.1,0.0,27,scattered clouds
2023-01-02 15:00:00,2023,1,2,15,0.023,0.0,0.272,2023,1,2,15,11.76,11.77,14.82,1028,72,1.15,0.0,26,scattered clouds
2023-01-02 16:00:00,2023,1,2,16,0.251,0.0,0.053,2023,1,2,16,11.16,11.45,13.82,1028,73,1.1,0.0,26,scattered clouds
2023-01-02 17:00:00,2023,1,2,17,0.425,0.0,0.0,2023,1,2,17,10.53,10.34,12.79,1028,77,1.33,0.0,27,scattered clouds
2023-01-02 18:00:00,2023,1,2,18,0.97,0.0,0.0,2023,1,2,18,9.33,9.23,10.57,1029,82,0.83,0.0,20,few clouds
2023-01-02 19:00:00,2023,1,2,19,0.683,0.0,0.0,2023,1,2,19,9.52,6.93,11.21,1029,85,0.5,0.0,20,few clouds
2023-01-02 20:00:00,2023,1,2,20,0.73,0.0,0.0,2023,1,2,20,8.93,6.38,10.66,1029,87,0.61,0.0,20,few clouds
2023-01-02 21:00:00,2023,1,2,21,0.847,0.0,0.0,2023,1,2,21,9.29,5.82,10.1,1030,87,0.98,0.0,10,sky is clear
2023-01-02 22:00:00,2023,1,2,22,0.0,0.681,0.0,2023,1,2,22,8.53,4.71,9.54,1030,89,1.34,0.0,5,sky is clear
2023-01-02 23:00:00,2023,1,2,23,0.0,0.56,0.0,2023,1,2,23,7.76,4.71,8.99,1030,89,1.52,0.0,9,sky is clear
2023-01-03 00:00:00,2023,1,3,0,0.0,0.521,0.0,2023,1,3,0,8.39,4.71,9.04,1031,87,1.42,0.0,43,scattered clouds
2023-01-03 01:00:00,2023,1,3,1,0.0,0.338,0.0,2023,1,3,1,6.55,4.23,7.93,1031,89,2.19,0.0,63,broken clouds
2023-01-03 02:00:00,2023,1,3,2,0.0,0.271,0.0,2023,1,3,2,5.87,4.23,7.93,1031,90,2.95,0.0,99,overcast clouds
2023-01-03 03:00:00,2023,1,3,3,0.0,0.259,0.0,2023,1,3,3,5.4,5.26,7.37,1031,91,2.91,0.0,100,overcast clouds
2023-01-03 04:00:00,2023,1,3,4,0.0,0.247,0.0,2023,1,3,4,4.76,6.72,6.82,1031,92,2.9,0.0,98,overcast clouds
2023-01-03 05:00:00,2023,1,3,5,0.0,0.263,0.0,2023,1,3,5,5.4,4.71,7.37,1031,92,2.86,0.0,85,overcast clouds
2023-01-03 06:00:00,2023,1,3,6,0.0,0.274,0.0,2023,1,3,6,6.1,4.71,7.93,1031,89,2.8,0.0,100,overcast clouds
2023-01-03 07:00:00,2023,1,3,7,0.0,0.813,0.0,2023,1,3,7,6.1,4.15,7.93,1032,88,2.8,0.0,100,overcast clouds
2023-01-03 08:00:00,2023,1,3,8,0.301,0.0,0.081,2023,1,3,8,6.05,4.15,7.93,1032,86,2.83,0.0,100,overcast clouds
2023-01-03 09:00:00,2023,1,3,9,0.0,0.0,0.325,2023,1,3,9,6.78,4.15,8.48,1033,86,2.74,0.0,100,overcast clouds
2023-01-03 10:00:00,2023,1,3,10,0.0,0.0,0.271,2023,1,3,10,9.68,6.12,10.7,1034,79,2.61,0.0,38,scattered clouds
2023-01-03 11:00:00,2023,1,3,11,0.0,0.0,0.261,2023,1,3,11,10.4,8.43,11.26,1034,76,2.01,0.0,10,sky is clear
2023-01-03 12:00:00,2023,1,3,12,0.368,0.0,0.614,2023,1,3,12,11.89,9.45,12.93,1034,68,1.58,0.0,34,scattered clouds
2023-01-03 13:00:00,2023,1,3,13,0.06,0.0,0.495,2023,1,3,13,12.0,10.1,12.93,1033,70,1.28,0.0,66,broken clouds
2023-01-03 14:00:00,2023,1,3,14,0.0,0.0,0.255,2023,1,3,14,12.05,12.23,13.82,1033,65,1.19,0.0,99,overcast clouds
2023-01-03 15:00:00,2023,1,3,15,0.023,0.0,0.221,2023,1,3,15,12.13,10.26,14.82,1032,68,1.23,0.0,100,overcast clouds
2023-01-03 16:00:00,2023,1,3,16,0.175,0.0,0.065,2023,1,3,16,11.62,11.38,13.82,1032,71,0.9,0.0,97,overcast clouds
2023-01-03 17:00:00,2023,1,3,17,0.23,0.0,0.0,2023,1,3,17,11.03,11.68,12.82,1033,72,0.97,0.0,94,overcast clouds
2023-01-03 18:00:00,2023,1,3,18,0.858,0.0,0.0,2023,1,3,18,10.45,10.01,11.26,1033,80,0.51,0.0,81,broken clouds
2023-01-03 19:00:00,2023,1,3,19,0.843,0.0,0.0,2023,1,3,19,9.32,9.23,10.15,1034,82,0.57,0.0,47,scattered clouds
2023-01-03 20:00:00,2023,1,3,20,0.463,0.0,0.0,2023,1,3,20,9.43,7.72,9.59,1034,84,1.3,0.0,35,scattered clouds
2023-01-03 21:00:00,2023,1,3,21,0.854,0.0,0.0,2023,1,3,21,9.23,7.57,10.15,1034,84,1.82,0.0,19,few clouds
2023-01-03 22:00:00,2023,1,3,22,0.0,1.514,0.0,2023,1,3,22,8.9,7.01,9.59,1034,84,1.55,0.0,18,few clouds
2023-01-03 23:00:00,2023,1,3,23,0.0,0.609,0.0,2023,1,3,23,8.86,6.45,9.59,1035,79,1.57,0.0,10,sky is clear
2023-01-04 00:00:00,2023,1,4,0,0.0,0.592,0.0,2023,1,4,0,7.98,5.9,9.04,1035,83,1.61,0.0,18,few clouds
2023-01-04 01:00:00,2023,1,4,1,0.0,0.579,0.0,2023,1,4,1,8.01,4.15,9.04,1035,82,1.75,0.0,17,few clouds
2023-01-04 02:00:00,2023,1,4,2,0.0,0.531,0.0,2023,1,4,2,7.89,3.6,9.04,1034,77,2.0,0.0,39,scattered clouds
2023-01-04 03:00:00,2023,1,4,3,0.0,0.264,0.0,2023,1,4,3,7.14,4.15,8.48,1034,81,2.15,0.0,66,broken clouds
2023-01-04 04:00:00,2023,1,4,4,0.0,0.266,0.0,2023,1,4,4,7.71,4.71,9.04,1035,77,2.2,0.0,23,few clouds
2023-01-04 05:00:00,2023,1,4,5,0.0,0.265,0.0,2023,1,4,5,7.68,4.71,9.04,1034,75,2.24,0.0,25,scattered clouds
2023-01-04 06:00:00,2023,1,4,6,0.0,0.299,0.0,2023,1,4,6,7.59,4.15,9.04,1034,75,2.36,0.0,44,scattered clouds
2023-01-04 07:00:00,2023,1,4,7,0.0,1.245,0.0,2023,1,4,7,4.65,4.15,6.82,1035,97,2.39,0.0,56,broken clouds
2023-01-04 08:00:00,2023,1,4,8,0.369,0.0,0.092,2023,1,4,8,4.46,4.15,6.82,1035,97,2.48,0.0,70,broken clouds
2023-01-04 09:00:00,2023,1,4,9,0.0,0.0,0.367,2023,1,4,9,8.61,4.15,10.15,1035,69,2.74,0.0,53,broken clouds
2023-01-04 10:00:00,2023,1,4,10,0.0,0.0,0.367,2023,1,4,10,10.58,7.79,11.82,1036,65,2.78,0.0,18,few clouds
2023-01-04 11:00:00,2023,1,4,11,0.0,0.0,0.361,2023,1,4,11,12.3,8.9,13.48,1036,60,2.24,0.0,5,sky is clear
2023-01-04 12:00:00,2023,1,4,12,0.0,0.0,0.281,2023,1,4,12,13.15,11.68,14.04,1036,66,1.73,0.0,4,sky is clear
2023-01-04 13:00:00,2023,1,4,13,0.0,0.0,0.252,2023,1,4,13,13.35,12.79,14.82,1035,69,1.34,0.0,4,sky is clear
2023-01-04 14:00:00,2023,1,4,14,0.0,0.0,0.288,2023,1,4,14,13.84,12.49,15.82,1034,64,1.02,0.0,3,sky is clear
2023-01-04 15:00:00,2023,1,4,15,0.204,0.0,0.324,2023,1,4,15,13.87,14.45,15.34,1034,67,0.65,0.0,3,sky is clear
2023-01-04 16:00:00,2023,1,4,16,0.21,0.0,0.042,2023,1,4,16,13.81,13.6,14.79,1033,69,0.31,0.0,6,sky is clear
2023-01-04 17:00:00,2023,1,4,17,0.304,0.0,0.0,2023,1,4,17,13.07,10.82,14.23,1033,70,0.39,0.0,6,sky is clear
2023-01-04 18:00:00,2023,1,4,18,1.174,0.0,0.0,2023,1,4,18,12.01,11.21,12.93,1034,73,0.96,0.0,1,sky is clear
2023-01-04 19:00:00,2023,1,4,19,1.826,0.0,0.0,2023,1,4,19,11.31,9.72,12.37,1034,75,1.57,0.0,2,sky is clear
2023-01-04 20:00:00,2023,1,4,20,1.262,0.0,0.0,2023,1,4,20,10.83,9.45,11.82,1034,79,1.88,0.0,0,sky is clear
2023-01-04 21:00:00,2023,1,4,21,0.808,0.0,0.0,2023,1,4,21,10.44,8.99,11.26,1033,85,1.98,0.0,1,sky is clear
2023-01-04 22:00:00,2023,1,4,22,0.0,0.662,0.0,2023,1,4,22,9.81,8.12,10.7,1033,86,1.99,0.0,0,sky is clear
2023-01-04 23:00:00,2023,1,4,23,0.0,0.472,0.0,2023,1,4,23,9.14,7.57,10.15,1033,84,1.91,0.0,0,sky is clear
2023-01-05 00:00:00,2023,1,5,0,0.0,0.418,0.0,2023,1,5,0,9.43,6.72,10.7,1032,80,2.06,0.0,0,sky is clear
2023-01-05 01:00:00,2023,1,5,1,0.0,0.361,0.0,2023,1,5,1,4.55,5.72,7.79,1032,92,2.25,0.0,0,sky is clear
2023-01-05 02:00:00,2023,1,5,2,0.0,0.357,0.0,2023,1,5,2,6.21,7.32,8.34,1032,91,2.34,0.0,0,sky is clear
2023-01-05 03:00:00,2023,1,5,3,0.0,0.319,0.0,2023,1,5,3,6.17,7.32,7.82,1031,93,2.39,0.0,0,sky is clear
2023-01-05 04:00:00,2023,1,5,4,0.0,0.308,0.0,2023,1,5,4,5.16,6.72,7.23,1031,94,2.3,0.0,0,sky is clear
2023-01-05 05:00:00,2023,1,5,5,0.0,0.303,0.0,2023,1,5,5,3.32,4.72,6.77,1030,95,2.23,0.0,0,sky is clear
2023-01-05 06:00:00,2023,1,5,6,0.0,0.308,0.0,2023,1,5,6,4.08,5.72,7.23,1030,94,2.3,0.0,0,sky is clear
2023-01-05 07:00:00,2023,1,5,7,0.0,0.829,0.0,2023,1,5,7,5.05,6.21,6.82,1030,95,2.29,0.0,1,sky is clear
2023-01-05 08:00:00,2023,1,5,8,0.381,0.0,0.094,2023,1,5,8,4.01,5.66,6.12,1030,94,2.24,0.0,2,sky is clear
2023-01-05 09:00:00,2023,1,5,9,0.0,0.0,0.335,2023,1,5,9,5.65,6.21,7.82,1031,92,2.75,0.0,2,sky is clear
2023-01-05 10:00:00,2023,1,5,10,0.336,0.0,0.616,2023,1,5,10,10.98,8.34,12.37,1031,58,2.46,0.0,0,sky is clear
2023-01-05 11:00:00,2023,1,5,11,0.0,0.0,0.337,2023,1,5,11,12.24,9.45,13.48,1031,58,2.02,0.0,0,sky is clear
2023-01-05 12:00:00,2023,1,5,12,0.057,0.0,0.424,2023,1,5,12,13.0,10.82,14.04,1030,61,1.76,0.0,0,sky is clear
2023-01-05 13:00:00,2023,1,5,13,0.0,0.0,0.343,2023,1,5,13,13.58,11.93,14.59,1029,62,1.61,0.0,0,sky is clear
2023-01-05 14:00:00,2023,1,5,14,0.0,0.0,0.292,2023,1,5,14,13.96,14.45,15.82,1028,67,1.47,0.0,0,sky is clear
2023-01-05 15:00:00,2023,1,5,15,0.0,0.0,0.293,2023,1,5,15,13.14,13.04,15.82,1028,57,1.35,0.0,2,sky is clear
2023-01-05 16:00:00,2023,1,5,16,0.247,0.0,0.049,2023,1,5,16,13.14,11.77,15.82,1028,60,0.83,0.0,0,sky is clear
2023-01-05 17:00:00,2023,1,5,17,0.321,0.0,0.0,2023,1,5,17,11.46,11.21,13.82,1028,65,1.02,0.0,0,sky is clear
2023-01-05 18:00:00,2023,1,5,18,0.89,0.0,0.0,2023,1,5,18,10.62,9.72,11.82,1028,69,0.53,0.0,0,sky is clear
2023-01-05 19:00:00,2023,1,5,19,1.752,0.0,0.0,2023,1,5,19,9.5,8.72,10.7,1028,73,1.03,0.0,2,sky is clear
2023-01-05 20:00:00,2023,1,5,20,0.817,0.0,0.0,2023,1,5,20,9.11,7.79,9.82,1028,78,1.56,0.0,0,sky is clear
2023-01-05 21:00:00,2023,1,5,21,1.256,0.0,0.0,2023,1,5,21,8.16,7.57,9.04,1028,81,1.85,0.0,0,sky is clear
2023-01-05 22:00:00,2023,1,5,22,0.0,2.771,0.0,2023,1,5,22,7.5,6.12,8.82,1028,83,1.91,0.0,0,sky is clear
2023-01-05 23:00:00,2023,1,5,23,0.0,2.215,0.0,2023,1,5,23,5.92,3.6,7.82,1028,92,1.89,0.0,1,sky is clear
2023-01-06 00:00:00,2023,1,6,0,0.0,1.78,0.0,2023,1,6,0,6.85,5.34,7.93,1028,85,1.85,0.0,2,sky is clear
2023-01-06 01:00:00,2023,1,6,1,0.0,0.95,0.0,2023,1,6,1,5.52,4.79,6.82,1027,92,1.82,0.0,5,sky is clear
2023-01-06 02:00:00,2023,1,6,2,0.0,0.713,0.0,2023,1,6,2,5.45,4.23,6.82,1027,93,1.77,0.0,11,few clouds
2023-01-06 03:00:00,2023,1,6,3,0.0,0.47,0.0,2023,1,6,3,5.47,5.66,6.82,1027,95,1.96,0.0,18,few clouds
2023-01-06 04:00:00,2023,1,6,4,0.0,0.497,0.0,2023,1,6,4,4.87,2.49,6.82,1027,94,2.0,0.0,39,scattered clouds
2023-01-06 05:00:00,2023,1,6,5,0.0,0.443,0.0,2023,1,6,5,3.86,3.04,5.82,1026,94,2.18,0.0,60,broken clouds
2023-01-06 06:00:00,2023,1,6,6,0.0,0.792,0.0,2023,1,6,6,3.99,3.9,5.82,1026,90,2.2,0.0,42,scattered clouds
2023-01-06 07:00:00,2023,1,6,7,0.0,1.763,0.0,2023,1,6,7,3.92,5.1,5.82,1026,92,2.28,0.0,54,broken clouds
2023-01-06 08:00:00,2023,1,6,8,0.947,0.0,0.074,2023,1,6,8,3.84,3.6,5.82,1027,89,2.36,0.0,66,broken clouds
2023-01-06 09:00:00,2023,1,6,9,0.245,0.0,0.406,2023,1,6,9,2.16,3.6,5.82,1027,94,2.88,0.0,74,broken clouds
2023-01-06 10:00:00,2023,1,6,10,0.164,0.0,0.421,2023,1,6,10,3.3,5.7,6.82,1027,92,3.06,0.0,75,broken clouds
2023-01-06 11:00:00,2023,1,6,11,0.052,0.0,0.449,2023,1,6,11,6.87,8.48,8.82,1027,91,2.71,0.0,86,overcast clouds
2023-01-06 12:00:00,2023,1,6,12,0.067,0.0,0.394,2023,1,6,12,9.4,10.15,10.82,1027,81,2.68,0.0,89,overcast clouds
2023-01-06 13:00:00,2023,1,6,13,0.018,0.0,0.436,2023,1,6,13,10.07,10.57,12.01,1026,82,2.81,0.0,90,overcast clouds
2023-01-06 14:00:00,2023,1,6,14,0.0,0.0,0.444,2023,1,6,14,10.71,11.26,13.12,1025,81,3.6,0.0,96,overcast clouds
2023-01-06 15:00:00,2023,1,6,15,0.222,0.0,0.223,2023,1,6,15,10.27,10.7,13.82,1024,82,3.81,0.0,97,overcast clouds
2023-01-06 16:00:00,2023,1,6,16,0.457,0.0,0.046,2023,1,6,16,10.75,10.1,13.82,1024,81,3.56,0.0,97,overcast clouds
2023-01-06 17:00:00,2023,1,6,17,0.586,0.0,0.0,2023,1,6,17,10.22,10.66,12.82,1024,84,3.25,0.0,83,broken clouds
2023-01-06 18:00:00,2023,1,6,18,1.821,0.0,0.0,2023,1,6,18,10.18,10.1,12.82,1024,83,3.19,0.0,73,broken clouds
2023-01-06 19:00:00,2023,1,6,19,1.046,0.0,0.0,2023,1,6,19,10.04,10.01,11.82,1024,81,3.37,0.0,49,scattered clouds
2023-01-06 20:00:00,2023,1,6,20,0.413,0.0,0.0,2023,1,6,20,9.98,9.54,11.82,1023,80,3.38,0.0,57,broken clouds
2023-01-06 21:00:00,2023,1,6,21,0.36,0.0,0.0,2023,1,6,21,9.5,9.54,11.82,1023,82,3.32,0.0,88,overcast clouds
2023-01-06 22:00:00,2023,1,6,22,0.0,0.369,0.0,2023,1,6,22,10.13,9.54,12.82,1023,82,4.57,0.12,88,light rain
2023-01-06 23:00:00,2023,1,6,23,0.0,0.375,0.0,2023,1,6,23,10.26,9.54,13.82,1022,83,5.07,0.27,95,light rain
2023-01-07 00:00:00,2023,1,7,0,0.0,0.732,0.0,2023,1,7,0,10.79,10.1,13.82,1022,82,5.48,0.28,100,light rain
2023-01-07 01:00:00,2023,1,7,1,0.0,0.605,0.0,2023,1,7,1,10.87,10.66,13.82,1021,84,5.75,0.2,100,light rain
2023-01-07 02:00:00,2023,1,7,2,0.0,0.493,0.0,2023,1,7,2,10.39,10.7,13.82,1021,86,5.99,0.58,100,light rain
2023-01-07 03:00:00,2023,1,7,3,0.0,1.073,0.0,2023,1,7,3,10.99,11.21,13.82,1020,88,6.28,1.09,100,moderate rain
2023-01-07 04:00:00,2023,1,7,4,0.0,0.777,0.0,2023,1,7,4,12.55,11.21,12.93,1019,90,6.46,1.72,100,moderate rain
2023-01-07 05:00:00,2023,1,7,5,0.0,0.469,0.0,2023,1,7,5,12.65,11.93,12.93,1018,92,6.77,2.23,100,moderate rain
2023-01-07 06:00:00,2023,1,7,6,0.0,0.412,0.0,2023,1,7,6,12.7,12.23,13.6,1018,93,7.02,2.84,100,moderate rain
2023-01-07 07:00:00,2023,1,7,7,0.0,0.408,0.0,2023,1,7,7,12.68,12.23,13.12,1017,93,7.19,4.48,100,heavy intensity rain
2023-01-07 08:00:00,2023,1,7,8,0.383,0.0,0.0,2023,1,7,8,12.68,12.23,13.12,1017,93,7.15,3.86,100,moderate rain
2023-01-07 09:00:00,2023,1,7,9,0.343,0.0,0.023,2023,1,7,9,13.33,12.79,13.82,1017,93,6.85,3.02,100,moderate rain
2023-01-07 10:00:00,2023,1,7,10,0.333,0.0,0.03,2023,1,7,10,13.34,12.32,14.15,1017,94,6.75,3.35,100,moderate rain
2023-01-07 11:00:00,2023,1,7,11,0.415,0.0,0.057,2023,1,7,11,14.01,13.34,14.82,1017,94,6.69,3.36,100,moderate rain
2023-01-07 12:00:00,2023,1,7,12,0.61,0.0,0.061,2023,1,7,12,14.02,13.34,14.82,1017,94,7.11,3.11,100,moderate rain
2023-01-07 13:00:00,2023,1,7,13,0.533,0.0,0.065,2023,1,7,13,13.96,13.68,14.15,1017,95,6.14,1.26,100,moderate rain
2023-01-07 14:00:00,2023,1,7,14,0.536,0.0,0.02,2023,1,7,14,14.12,13.43,15.82,1017,95,5.03,0.67,100,light rain
2023-01-07 15:00:00,2023,1,7,15,0.922,0.0,0.005,2023,1,7,15,12.97,12.93,14.82,1017,95,4.0,0.31,100,light rain
2023-01-07 16:00:00,2023,1,7,16,0.678,0.0,0.001,2023,1,7,16,12.85,12.23,13.82,1017,95,2.2,0.29,98,light rain
2023-01-07 17:00:00,2023,1,7,17,0.521,0.0,0.0,2023,1,7,17,12.79,10.9,13.82,1016,95,2.62,0.37,100,light rain
2023-01-07 18:00:00,2023,1,7,18,0.563,0.0,0.0,2023,1,7,18,12.0,10.34,13.82,1017,95,3.03,0.19,97,light rain
2023-01-07 19:00:00,2023,1,7,19,0.668,0.0,0.0,2023,1,7,19,11.58,11.38,12.82,1018,95,3.27,0.32,100,light rain
2023-01-07 20:00:00,2023,1,7,20,0.523,0.0,0.0,2023,1,7,20,11.71,10.34,13.82,1018,95,3.35,0.3,100,light rain
2023-01-07 21:00:00,2023,1,7,21,0.338,0.0,0.0,2023,1,7,21,11.7,10.9,13.82,1018,95,3.63,0.64,100,light rain
2023-01-07 22:00:00,2023,1,7,22,0.0,0.34,0.0,2023,1,7,22,11.68,11.12,13.82,1018,94,4.46,0.98,100,light rain
2023-01-07 23:00:00,2023,1,7,23,0.0,0.411,0.0,2023,1,7,23,11.7,11.12,13.82,1017,95,5.13,1.51,100,moderate rain
2023-01-08 00:00:00,2023,1,8,0,0.0,0.677,0.0,2023,1,8,0,11.7,10.9,13.82,1017,95,5.02,1.71,100,moderate rain
2023-01-08 01:00:00,2023,1,8,1,0.0,0.286,0.0,2023,1,8,1,11.08,11.12,12.82,1017,95,5.43,1.33,100,moderate rain
2023-01-08 02:00:00,2023,1,8,2,0.0,0.26,0.0,2023,1,8,2,11.07,11.21,12.82,1016,95,5.18,1.25,100,moderate rain
2023-01-08 03:00:00,2023,1,8,3,0.0,0.258,0.0,2023,1,8,3,11.63,10.9,12.82,1015,95,4.35,1.3,100,moderate rain
2023-01-08 04:00:00,2023,1,8,4,0.0,0.255,0.0,2023,1,8,4,12.25,11.45,13.82,1014,95,4.17,1.22,100,moderate rain
2023-01-08 05:00:00,2023,1,8,5,0.0,0.283,0.0,2023,1,8,5,12.81,11.45,13.82,1012,95,5.33,1.64,100,moderate rain
2023-01-08 06:00:00,2023,1,8,6,0.0,0.752,0.0,2023,1,8,6,14.54,12.57,14.82,1011,95,7.88,3.19,100,moderate rain
2023-01-08 07:00:00,2023,1,8,7,0.0,0.28,0.0,2023,1,8,7,15.25,14.45,15.82,1011,95,9.87,3.28,90,moderate rain
2023-01-08 08:00:00,2023,1,8,8,0.259,0.0,0.001,2023,1,8,8,14.68,13.99,15.82,1012,95,8.37,2.45,91,moderate rain
2023-01-08 09:00:00,2023,1,8,9,0.226,0.0,0.05,2023,1,8,9,14.68,13.99,15.82,1014,95,6.63,0.58,96,light rain
2023-01-08 10:00:00,2023,1,8,10,0.185,0.0,0.095,2023,1,8,10,14.05,13.68,14.82,1015,95,5.55,0.63,94,light rain
2023-01-08 11:00:00,2023,1,8,11,0.94,0.0,0.105,2023,1,8,11,14.02,13.34,14.82,1016,95,5.09,0.49,95,light rain
2023-01-08 12:00:00,2023,1,8,12,1.277,0.0,0.17,2023,1,8,12,13.4,13.12,13.82,1015,95,4.87,0.43,100,light rain
